"Bird","Bird.Session","Pen","Session","TrialNumber","NumErrors","TO","C2","Latency","Sex","Group"
1012,8,"A",8,8,0,24,3,9.84,"M","Control"
1012,3,"A",3,3,4,24,1,20.66,"M","Control"
1012,4,"A",4,4,2,26,1,9.13,"M","Control"
1012,7,"A",7,7,4,20,1,21.06,"M","Control"
1012,6,"A",6,6,2,20,5,16.22,"M","Control"
1012,2,"A",2,2,4,29,5,14.38,"M","Control"
1012,5,"A",5,5,2,23,5,11.81,"M","Control"
1012,1,"A",1,1,0,20,3,9.32,"M","Control"
1014,4,"A",4,4,4,9,5,21.47,"M","Control"
1014,1,"A",1,1,0,18,3,11.31,"M","Control"
1014,8,"A",8,8,1,15,5,10.34,"M","Control"
1014,5,"A",5,5,2,11,5,11.53,"M","Control"
1014,7,"A",7,7,4,9,5,24.2,"M","Control"
1014,2,"A",2,2,4,14,5,27.22,"M","Control"
1014,6,"A",6,6,2,9,5,21.43,"M","Control"
1014,3,"A",3,3,4,17,5,37.22,"M","Control"
1015,1,"A",1,1,6,1,1,122.47,"F","Control"
1015,7,"A",7,7,2,10,5,17.6,"F","Control"
1015,4,"A",4,4,4,7,1,47.93,"F","Control"
1015,2,"A",2,2,2,9,3,64.28,"F","Control"
1015,5,"A",5,5,6,8,5,35.32,"F","Control"
1015,3,"A",3,3,2,5,1,41.63,"F","Control"
1015,6,"A",6,6,4,18,5,38.84,"F","Control"
1015,8,"A",8,8,2,10,5,13.63,"F","Control"
1016,2,"A",2,2,2,5,3,49.13,"M","Control"
1016,8,"A",8,8,0,5,3,17.09,"M","Control"
1016,5,"A",5,5,0,5,3,18.28,"M","Control"
1016,4,"A",4,4,0,4,3,19.53,"M","Control"
1016,6,"A",6,6,0,4,3,11.34,"M","Control"
1016,7,"A",7,7,6,2,1,66.5,"M","Control"
1016,1,"A",1,1,0,3,3,39.96,"M","Control"
1016,3,"A",3,3,22,8,1,178.53,"M","Control"
1018,8,"A",8,8,2,21,5,20.66,"F","Control"
1018,4,"A",4,4,0,1,3,11.9,"F","Control"
1018,6,"A",6,6,0,19,3,22,"F","Control"
1018,7,"A",7,7,2,5,5,38.22,"F","Control"
1018,5,"A",5,5,4,2,5,43.72,"F","Control"
1018,1,"A",1,1,12,8,3,74.78,"F","Control"
1018,2,"A",2,2,2,8,3,20.72,"F","Control"
1018,3,"A",3,3,0,18,3,12,"F","Control"
1019,3,"A",3,3,0,21,3,10.6,"M","Control"
1019,8,"A",8,8,2,18,5,11.88,"M","Control"
1019,4,"A",4,4,0,25,3,10.37,"M","Control"
1019,7,"A",7,7,0,15,3,6.34,"M","Control"
1019,6,"A",6,6,0,31,3,9.34,"M","Control"
1019,2,"A",2,2,2,12,3,18.57,"M","Control"
1019,5,"A",5,5,8,17,3,33.53,"M","Control"
1019,1,"A",1,1,0,16,3,8.03,"M","Control"
1020,1,"A",1,1,8,31,1,81.56,"F","Control"
1020,5,"A",5,5,4,28,5,51.87,"F","Control"
1020,4,"A",4,4,8,29,1,50.62,"F","Control"
1020,2,"A",2,2,12,27,1,77.25,"F","Control"
1020,6,"A",6,6,4,26,5,24.88,"F","Control"
1020,7,"A",7,7,2,30,1,15.04,"F","Control"
1020,8,"A",8,8,2,31,1,15.82,"F","Control"
1020,3,"A",3,3,2,30,1,21.91,"F","Control"
1021,7,"A",7,7,0,4,3,11.12,"M","Control"
1021,4,"A",4,4,2,11,5,10.94,"M","Control"
1021,1,"A",1,1,0,10,3,13.41,"M","Control"
1021,8,"A",8,8,0,2,3,11.09,"M","Control"
1021,5,"A",5,5,10,15,3,29,"M","Control"
1021,2,"A",2,2,0,11,3,11.34,"M","Control"
1021,6,"A",6,6,0,14,3,9.03,"M","Control"
1021,3,"A",3,3,0,6,3,9.84,"M","Control"
1022,3,"A",3,3,0,4,3,6.47,"M","Control"
1022,6,"A",6,6,6,12,5,29.5,"M","Control"
1022,2,"A",2,2,0,2,3,6,"M","Control"
1022,1,"A",1,1,2,7,5,15.63,"M","Control"
1022,4,"A",4,4,0,14,3,5.9,"M","Control"
1022,7,"A",7,7,0,18,3,7.62,"M","Control"
1022,8,"A",8,8,2,12,1,6.84,"M","Control"
1022,5,"A",5,5,2,4,5,8.91,"M","Control"
1023,2,"A",2,2,0,4,3,7.13,"M","Control"
1023,7,"A",7,7,0,1,3,6.4,"M","Control"
1023,8,"A",8,8,2,1,5,12.72,"M","Control"
1023,6,"A",6,6,0,1,3,11.16,"M","Control"
1023,3,"A",3,3,4,2,1,20.88,"M","Control"
1023,4,"A",4,4,0,2,3,9.87,"M","Control"
1023,5,"A",5,5,2,3,5,11.44,"M","Control"
1023,1,"A",1,1,14,4,3,74.28,"M","Control"
1024,7,"A",7,7,2,16,5,15.32,"F","Control"
1024,3,"A",3,3,0,16,3,8.59,"F","Control"
1024,4,"A",4,4,2,15,1,22.07,"F","Control"
1024,1,"A",1,1,4,12,1,60.13,"F","Control"
1024,2,"A",2,2,2,15,1,23.72,"F","Control"
1024,8,"A",8,8,2,13,5,13.31,"F","Control"
1024,5,"A",5,5,2,18,5,12.84,"F","Control"
1024,6,"A",6,6,2,15,5,26.12,"F","Control"
1025,5,"A",5,5,14,25,5,127.88,"F","Control"
1025,7,"A",7,7,2,26,5,44.16,"F","Control"
1025,1,"A",1,1,32,29,5,293.94,"F","Control"
1025,2,"A",2,2,2,30,1,83.15,"F","Control"
1025,8,"A",8,8,1,29,5,24.4,"F","Control"
1025,4,"A",4,4,28,31,5,256.15,"F","Control"
1025,6,"A",6,6,8,30,5,51.4,"F","Control"
1025,3,"A",3,3,4,29,5,70.78,"F","Control"
1027,2,"A",2,2,0,25,3,27.56,"F","Control"
1027,1,"A",1,1,0,23,3,20.97,"F","Control"
1027,6,"A",6,6,2,17,1,50.35,"F","Control"
1027,7,"A",7,7,0,25,3,17.41,"F","Control"
1027,8,"A",8,8,0,19,3,9.12,"F","Control"
1027,3,"A",3,3,0,10,3,9.1,"F","Control"
1027,4,"A",4,4,0,23,3,22.89,"F","Control"
1027,5,"A",5,5,0,9,3,10.19,"F","Control"
1028,8,"A",8,8,4,14,5,50.18,"F","Control"
1028,1,"A",1,1,2,24,3,13.03,"F","Control"
1028,2,"A",2,2,4,13,3,12,"F","Control"
1028,7,"A",7,7,0,19,3,7.03,"F","Control"
1028,6,"A",6,6,0,16,3,10.06,"F","Control"
1028,5,"A",5,5,36,21,5,229.43,"F","Control"
1028,3,"A",3,3,0,19,3,6.06,"F","Control"
1028,4,"A",4,4,0,22,3,5.19,"F","Control"
1029,2,"A",2,2,0,1,3,14.96,"F","Control"
1029,3,"A",3,3,0,11,3,9.28,"F","Control"
1029,6,"A",6,6,4,3,5,33.91,"F","Control"
1029,8,"A",8,8,4,3,5,23.41,"F","Control"
1029,5,"A",5,5,0,12,3,9.96,"F","Control"
1029,1,"A",1,1,0,6,3,9.88,"F","Control"
1029,7,"A",7,7,6,8,5,30.72,"F","Control"
1029,4,"A",4,4,0,5,3,11.03,"F","Control"
1030,3,"A",3,3,0,14,3,8.13,"M","Control"
1030,6,"A",6,6,0,2,3,8.06,"M","Control"
