"Bird","Pen","T8_NumErrors","Probe_NumErrors","Sex","Group","Diff","binStrat","Strat"
1012,"A",0,0,"M","Control",0,0,"Allocentric"
1014,"A",1,0,"M","Control",-1,0,"Allocentric"
1015,"A",2,0,"F","Control",-2,0,"Allocentric"
1016,"A",0,0,"M","Control",0,0,"Allocentric"
1018,"A",2,0,"F","Control",-2,0,"Allocentric"
1019,"A",2,0,"M","Control",-2,0,"Allocentric"
1020,"A",2,2,"F","Control",0,0,"Allocentric"
1021,"A",0,0,"M","Control",0,0,"Allocentric"
1022,"A",2,0,"M","Control",-2,0,"Allocentric"
1023,"A",2,11,"M","Control",9,1,"Egocentric"
1024,"A",2,0,"F","Control",-2,0,"Allocentric"
1025,"A",1,4,"F","Control",3,1,"Egocentric"
1027,"A",0,2,"F","Control",2,1,"Egocentric"
1028,"A",4,0,"F","Control",-4,0,"Allocentric"
1029,"A",4,2,"F","Control",-2,0,"Allocentric"
1030,"A",4,0,"M","Control",-4,0,"Allocentric"
1031,"A",2,0,"M","Control",-2,0,"Allocentric"
1032,"A",2,2,"F","Control",0,0,"Allocentric"
1033,"A",20,3,"F","Control",-17,0,"Allocentric"
1034,"A",2,4,"F","Control",2,1,"Egocentric"
1035,"A",9,2,"M","Control",-7,0,"Allocentric"
1036,"A",15,0,"F","Control",-15,0,"Allocentric"
1042,"A",4,0,"M","Control",-4,0,"Allocentric"
1044,"B",0,10,"F","Experimental",10,1,"Egocentric"
1045,"B",0,14,"M","Experimental",14,1,"Egocentric"
1046,"B",4,0,"F","Experimental",-4,0,"Allocentric"
1047,"B",0,6,"M","Experimental",6,1,"Egocentric"
1048,"A",4,2,"F","Control",-2,0,"Allocentric"
1051,"B",6,2,"F","Experimental",-4,0,"Allocentric"
1052,"B",0,0,"M","Experimental",0,0,"Allocentric"
1053,"B",2,4,"M","Experimental",2,1,"Egocentric"
1055,"B",0,0,"M","Experimental",0,0,"Allocentric"
1057,"B",0,0,"M","Experimental",0,0,"Allocentric"
1058,"B",2,0,"F","Experimental",-2,0,"Allocentric"
1060,"B",0,0,"F","Experimental",0,0,"Allocentric"
1061,"B",4,18,"F","Experimental",14,1,"Egocentric"
1062,"B",4,0,"F","Experimental",-4,0,"Allocentric"
1066,"B",4,0,"M","Experimental",-4,0,"Allocentric"
1067,"B",2,4,"M","Experimental",2,1,"Egocentric"
1071,"B",2,18,"M","Experimental",16,1,"Egocentric"
1072,"B",2,0,"M","Experimental",-2,0,"Allocentric"
1073,"A",2,1,"M","Control",-1,0,"Allocentric"
1075,"B",2,2,"F","Experimental",0,0,"Allocentric"
1076,"B",3,8,"F","Experimental",5,1,"Egocentric"
1079,"C",2,20,"M","Experimental",18,1,"Egocentric"
1085,"C",8,4,"M","Experimental",-4,0,"Allocentric"
1086,"C",4,14,"F","Experimental",10,1,"Egocentric"
1089,"C",4,0,"M","Experimental",-4,0,"Allocentric"
1090,"C",6,27,"F","Experimental",21,1,"Egocentric"
1091,"C",2,0,"M","Experimental",-2,0,"Allocentric"
1093,"D",2,0,"F","Control",-2,0,"Allocentric"
1095,"C",4,11,"F","Experimental",7,1,"Egocentric"
1096,"C",0,10,"M","Experimental",10,1,"Egocentric"
1097,"C",2,10,"F","Experimental",8,1,"Egocentric"
1102,"C",2,26,"M","Experimental",24,1,"Egocentric"
1105,"C",4,16,"F","Experimental",12,1,"Egocentric"
1106,"C",6,4,"F","Experimental",-2,0,"Allocentric"
1107,"C",2,22,"F","Experimental",20,1,"Egocentric"
1108,"C",6,4,"F","Experimental",-2,0,"Allocentric"
1110,"D",12,2,"M","Control",-10,0,"Allocentric"
1111,"D",0,8,"F","Control",8,1,"Egocentric"
1112,"D",16,0,"M","Control",-16,0,"Allocentric"
1114,"D",8,2,"M","Control",-6,0,"Allocentric"
1118,"D",4,0,"F","Control",-4,0,"Allocentric"
1119,"D",8,0,"M","Control",-8,0,"Allocentric"
1120,"D",2,2,"F","Control",0,0,"Allocentric"
1121,"D",2,0,"M","Control",-2,0,"Allocentric"
1122,"D",0,2,"M","Control",2,1,"Egocentric"
1123,"C",8,20,"M","Experimental",12,1,"Egocentric"
1124,"D",2,0,"F","Control",-2,0,"Allocentric"
1125,"D",42,0,"F","Control",-42,0,"Allocentric"
1127,"D",12,0,"M","Control",-12,0,"Allocentric"
1129,"D",2,2,"F","Control",0,0,"Allocentric"
1135,"D",6,0,"F","Control",-6,0,"Allocentric"
1137,"D",12,6,"F","Control",-6,0,"Allocentric"
1139,"D",2,2,"F","Control",0,0,"Allocentric"
1140,"D",2,11,"M","Control",9,1,"Egocentric"
1141,"D",12,0,"F","Control",-12,0,"Allocentric"
